"courier_id","full_name","vehicle_type","home_borough","hired_at"
COU_000172,Sloan Turner,car,Queens,2025-02-16 07:17:29.000
COU_000173,Emery Smith,car,Bronx,2024-10-27 15:09:00.000
COU_000174,Rowan Martinez,e-bike,Queens,2025-09-17 02:33:27.000
COU_000175,Noel Garcia,car,Bronx,2025-04-15 12:36:27.000
COU_000176,Riley Evans,e-bike,Queens,2025-03-18 09:51:38.000
COU_000177,Jamie Nelson,e-bike,Manhattan,2025-08-28 07:55:30.000
COU_000178,Peyton Hill,car,Staten Island,2025-05-28 08:54:48.000
COU_000179,Noel Clark,foot,Staten Island,2024-11-26 11:56:47.000
COU_000180,Skyler Wilson,car,Queens,2025-06-14 17:50:33.000
COU_000181,Casey Turner,foot,Manhattan,2025-06-09 05:08:00.000
COU_000182,Micah Perez,foot,Staten Island,2024-09-29 07:37:41.000
COU_000183,Elliot Baker,foot,Manhattan,2024-08-20 00:58:58.000
COU_000184,Blake Clark,e-bike,Brooklyn,2024-09-27 18:28:28.000
COU_000185,Reese Chen,scooter,Queens,2024-08-30 04:35:05.000
COU_000186,Rowan Turner,e-bike,Manhattan,2025-04-23 09:05:41.000
COU_000187,Harper Patel,scooter,Queens,2025-08-07 01:37:28.000
COU_000188,Cameron Harris,foot,Queens,2025-07-10 12:29:20.000
COU_000189,Robin Hill,bike,Bronx,2024-12-21 15:29:47.000
COU_000190,Jordan Smith,bike,Manhattan,2024-11-13 02:40:58.000
COU_000191,Harper Young,e-bike,Staten Island,2025-02-18 17:36:13.000
COU_000192,Cory Carter,scooter,Manhattan,2024-10-09 18:50:24.000
COU_000193,Sam Phillips,car,Queens,2025-02-19 00:59:05.000
COU_000194,Avery Lopez,car,Bronx,2024-08-19 07:52:57.000
COU_000195,Micah Carter,bike,Queens,2025-07-07 17:54:26.000
COU_000196,Quinn Campbell,car,Queens,2025-06-06 20:56:40.000
COU_000197,Sage Young,car,Manhattan,2024-12-25 08:14:34.000
COU_000198,Sloan Turner,bike,Manhattan,2025-01-17 13:40:46.000
COU_000199,Hayden Rodriguez,scooter,Brooklyn,2025-03-05 12:35:32.000
COU_000200,Drew Adams,scooter,Queens,2025-06-10 08:32:56.000
COU_000201,Arden Harris,bike,Staten Island,2025-08-25 15:57:37.000
COU_000202,Taylor Lewis,car,Staten Island,2025-09-23 16:54:19.000
COU_000203,Cameron Davis,foot,Queens,2025-05-26 00:57:46.000
COU_000204,Avery Parker,car,Queens,2025-03-14 07:42:46.000
COU_000205,Harper Anderson,foot,Manhattan,2025-05-10 20:21:06.000
COU_000206,Jamie Roberts,car,Brooklyn,2025-04-27 17:25:57.000
COU_000207,Harper Nguyen,e-bike,Queens,2025-07-02 08:52:56.000
COU_000208,Taylor Young,car,Bronx,2025-02-16 20:02:37.000
COU_000209,Noel Harris,foot,Bronx,2025-03-07 21:15:02.000
COU_000210,Blake Phillips,scooter,Bronx,2025-08-11 01:45:53.000
COU_000211,Peyton Jackson,foot,Brooklyn,2024-11-22 22:21:56.000
COU_000212,Parker Lopez,foot,Manhattan,2025-06-28 06:54:57.000
COU_000213,Rowan Wright,bike,Queens,2025-08-10 04:27:06.000
COU_000214,Cameron Roberts,foot,Queens,2024-11-06 08:32:02.000
COU_000215,Reese Roberts,bike,Manhattan,2025-05-31 16:28:35.000
COU_000216,Skyler Perez,e-bike,Bronx,2025-09-03 17:31:14.000
COU_000217,Hayden Adams,car,Queens,2025-06-13 12:59:31.000
COU_000218,Drew Nelson,bike,Bronx,2025-05-14 04:44:30.000
COU_000219,Shawn Brown,e-bike,Staten Island,2025-04-04 17:24:14.000
COU_000220,Phoenix Lewis,car,Brooklyn,2024-12-02 20:29:01.000
COU_000221,Blake King,scooter,Brooklyn,2025-04-24 01:06:59.000
COU_000222,River White,scooter,Staten Island,2025-02-04 05:25:48.000
COU_000223,Logan Kim,bike,Brooklyn,2025-09-10 19:48:21.000
COU_000224,Sage Adams,bike,Staten Island,2024-09-30 04:38:26.000
COU_000225,Remy Harris,bike,Bronx,2024-11-22 02:58:52.000
COU_000226,Taylor Wright,e-bike,Staten Island,2024-08-06 06:43:39.000
COU_000227,Elliot Jackson,bike,Manhattan,2024-09-30 21:18:26.000
COU_000228,Quinn Lee,bike,Staten Island,2025-07-22 09:28:18.000
COU_000229,Emery Hill,scooter,Bronx,2025-01-13 18:34:24.000
COU_000230,Kendall Phillips,scooter,Manhattan,2025-09-24 05:52:42.000
COU_000231,Dana Nelson,car,Manhattan,2025-01-11 16:06:23.000
COU_000232,Chris Brown,bike,Bronx,2025-04-05 05:02:57.000
COU_000233,Parker Patel,e-bike,Staten Island,2024-08-06 02:26:00.000
COU_000234,Blake Adams,foot,Staten Island,2024-12-31 18:44:27.000
COU_000235,Chris Martinez,bike,Staten Island,2025-01-11 16:45:47.000
COU_000236,Cory Baker,foot,Manhattan,2025-04-01 08:27:13.000
COU_000237,Peyton Turner,scooter,Staten Island,2025-01-13 19:09:11.000
COU_000238,Blake King,scooter,Manhattan,2024-11-28 03:30:16.000
COU_000239,Alex Young,foot,Manhattan,2025-08-05 18:24:57.000
COU_000240,Noel Green,e-bike,Bronx,2025-01-13 03:49:07.000
COU_000241,Arden Lee,e-bike,Staten Island,2025-05-16 19:49:41.000
COU_000242,Harper Carter,scooter,Queens,2025-03-26 18:14:31.000
COU_000243,Jules Parker,foot,Brooklyn,2025-02-10 22:05:02.000
COU_000244,Jordan Garcia,e-bike,Manhattan,2025-07-12 21:17:48.000
COU_000245,Elliot Baker,car,Manhattan,2025-06-17 01:48:09.000
COU_000246,Remy Lewis,car,Manhattan,2024-08-29 17:25:46.000
COU_000247,Arden Chen,bike,Bronx,2024-11-19 08:36:24.000
COU_000248,Taylor Thomas,foot,Staten Island,2025-01-31 15:22:06.000
COU_000249,Harper Scott,foot,Bronx,2024-11-24 07:28:00.000
COU_000250,Alex Gonzalez,scooter,Staten Island,2025-05-04 11:16:03.000
COU_000251,Reese Smith,bike,Staten Island,2024-09-28 07:35:54.000
COU_000252,Peyton Campbell,car,Bronx,2025-02-10 10:59:30.000
COU_000253,Kendall King,foot,Brooklyn,2025-04-30 03:32:45.000
COU_000254,Remy Garcia,foot,Bronx,2025-09-14 17:44:03.000
COU_000255,Rowan Davis,car,Staten Island,2025-03-06 07:24:30.000
COU_000256,Jamie Green,car,Queens,2025-02-20 07:58:54.000
COU_000257,Casey Turner,scooter,Brooklyn,2025-08-30 17:51:10.000
COU_000258,Sage Harris,scooter,Queens,2025-04-28 07:12:05.000
COU_000259,Alex Adams,foot,Staten Island,2025-05-08 06:50:52.000
COU_000260,Chris Young,e-bike,Queens,2025-03-03 06:55:20.000
COU_000261,Peyton Gonzalez,foot,Queens,2025-07-16 07:33:03.000
COU_000262, Sloan Parker ,e-bike,Bronx,2025-02-08 23:48:41.000
COU_000263,Shawn Jackson,foot,Queens,2025-03-07 06:40:18.000
COU_000264,Skyler Garcia,e-bike,Bronx,2025-01-18 13:11:19.000
COU_000265,Blake Nguyen,foot,Staten Island,2025-04-06 18:58:00.000
COU_000266,Casey Garcia,foot,Manhattan,2025-01-13 01:22:32.000
COU_000267,Sam Lee,e-bike,Brooklyn,2025-03-18 22:16:17.000
COU_000268,Remy Smith,car,Queens,2025-04-08 04:49:44.000
COU_000269,Micah Smith,bike,Brooklyn,2025-05-22 15:12:06.000
COU_000270,Quinn Wright,e-bike,Bronx,2024-11-26 02:02:30.000
COU_000271,River Hill,scooter,Brooklyn,2025-06-20 13:09:24.000
COU_000272,Alex Baker,car,Bronx,2025-07-07 23:40:24.000
COU_000273,River Brown,bike,Brooklyn,2025-01-12 12:42:50.000
COU_000274,Sage Garcia,foot,Staten Island,2025-06-22 15:19:18.000
COU_000275,Taylor Baker,e-bike,Bronx,2025-09-24 22:33:31.000
COU_000276,Casey White,e-bike,Staten Island,2025-02-13 03:32:39.000
COU_000277,Reese Garcia,car,Queens,2024-11-25 14:59:25.000
COU_000278,Arden Garcia,car,Bronx,2025-02-18 19:17:06.000
COU_000279,Quinn Wilson,scooter,Brooklyn,2025-09-22 21:39:58.000
COU_000280,Elliot Campbell,scooter,Bronx,2024-11-04 00:03:41.000
COU_000281,Sam Young,foot,Bronx,2025-05-11 19:41:14.000
COU_000282,Remy Garcia,car,Brooklyn,2024-09-24 05:02:03.000
COU_000283,Jordan Kim,e-bike,Queens,2025-06-19 23:51:31.000
COU_000284,Avery Baker,foot,Bronx,2024-08-27 03:22:02.000
COU_000285,Jules Campbell,car,Brooklyn,2025-07-22 14:40:16.000
COU_000286,Avery Green,bike,Queens,2025-09-04 08:23:11.000
COU_000287,Taylor Carter,bike,Staten Island,2024-10-17 04:09:23.000
COU_000288,Kendall Patel,car,Staten Island,2024-08-08 07:03:35.000
COU_000289,Reese Turner,bike,Staten Island,2024-08-13 17:50:55.000
COU_000290,Chris Lewis,foot,Manhattan,2025-08-04 13:20:02.000
COU_000291,Harper Carter,e-bike,Manhattan,2025-05-23 13:35:01.000
COU_000292,Quinn King,car,Brooklyn,2024-11-29 06:38:57.000
COU_000293,Logan Rodriguez,e-bike,Queens,2024-08-01 04:49:55.000
COU_000294,Sage Martinez,foot,Bronx,2024-08-08 14:03:10.000
COU_000295,Robin Davis,e-bike,Manhattan,2025-03-15 07:05:40.000
COU_000296,Remy Thomas,car,Brooklyn,2024-08-15 09:48:58.000
COU_000297,Logan Walker,foot,Brooklyn,2024-09-25 11:57:50.000
COU_000298,Kendall Perez,foot,Staten Island,2024-10-03 21:45:04.000
COU_000299,Reese Gonzalez,e-bike,Brooklyn,2025-07-10 08:22:14.000
COU_000300,Taylor Lopez,scooter,Staten Island,2025-04-27 14:33:35.000
COU_000301,Avery Harris,e-bike,Queens,2025-06-20 21:33:03.000
COU_000302,Sloan Adams,e-bike,Manhattan,2024-12-15 23:48:09.000
COU_000303,Parker Turner,foot,Staten Island,2024-11-07 16:16:52.000
COU_000304,Remy Lopez,foot,Queens,2024-09-25 19:37:33.000
COU_000305,Sage Thomas,bike,Manhattan,2024-08-22 08:03:59.000
COU_000306,Kendall King,e-bike,Brooklyn,2025-02-17 00:51:58.000
COU_000307,Sloan Wright,bike,Brooklyn,2025-06-07 11:01:17.000
COU_000308,Shawn Martinez,foot,Queens,2025-07-31 15:31:51.000
COU_000309,Casey Baker,scooter,Bronx,2024-09-25 16:50:18.000
COU_000310,Casey Davis,foot,Bronx,2024-09-27 18:42:58.000
COU_000311,Blake Baker,bike,Manhattan,2024-09-29 15:31:09.000
COU_000312,Kendall Gonzalez,scooter,Queens,2025-08-15 21:25:39.000
COU_000313,Blake Lee ,foot,Bronx,2025-05-12 08:29:33.000
COU_000314,Riley Wright,car,Brooklyn,2025-03-09 03:40:56.000
COU_000315,Hayden Clark,foot,Manhattan,2025-07-28 07:54:21.000
COU_000316,Sloan Hill,scooter,Staten Island,2025-01-15 06:58:49.000
COU_000317,Jordan Baker,bike,Queens,2025-08-30 16:55:46.000
COU_000318,Harper Carter,car,Brooklyn,2024-09-16 08:49:20.000
COU_000319,Parker Lewis,car,Bronx,2025-08-02 20:43:15.000
COU_000320,Casey Roberts,e-bike,Brooklyn,2024-11-04 11:20:00.000
COU_000321,Harper Lopez,foot,Staten Island,2025-03-04 20:04:51.000
COU_000322,Drew Campbell,scooter,Brooklyn,2025-02-20 07:34:41.000
COU_000323,Remy Jackson,scooter,Staten Island,2025-09-21 16:30:21.000
COU_000324,Cameron Walker,bike,Staten Island,2024-10-14 03:10:44.000
COU_000325,Noel Garcia,scooter,Bronx,2024-10-11 02:18:10.000
COU_000326,Rowan Parker,foot,Staten Island,2024-08-21 06:34:24.000
COU_000327,Robin Parker,car,Queens,2025-08-07 17:02:08.000
COU_000328,Blake Davis,bike,Staten Island,2024-08-13 10:43:39.000
COU_000329,Skyler Walker,foot,Brooklyn,2024-10-24 12:44:40.000
COU_000330,River Young,bike,Staten Island,2024-12-16 11:28:21.000
COU_000331,Avery Davis,scooter,Bronx,2025-06-30 06:51:21.000
COU_000332,Jordan Turner,scooter,Bronx,2024-12-24 23:16:21.000
COU_000333,Harper Perez,bike,Staten Island,2024-08-17 19:51:06.000
COU_000334,Reese Carter,bike,Staten Island,2025-02-24 21:56:01.000
COU_000335,Sloan Scott,e-bike,Manhattan,2025-02-12 06:39:32.000
COU_000336,Emery Thomas,car,Queens,2024-09-02 09:45:30.000
COU_000337,Morgan Phillips,bike,Bronx,2025-03-13 15:41:09.000
COU_000338,Sloan Thomas,bike,Manhattan,2024-08-31 00:20:12.000
COU_000339,Parker Young,scooter,Manhattan,2024-11-12 09:13:48.000
COU_000340,Emery Phillips,foot,Brooklyn,2024-12-15 08:16:43.000
COU_000341,Drew Lee,bike,Brooklyn,2025-01-30 07:44:24.000
COU_000342,River Walker,e-bike,Brooklyn,2025-09-16 01:31:31.000
COU_000343,Kendall Martinez,bike,Manhattan,2025-01-07 12:36:24.000
COU_000344,Tatum Smith,e-bike,Bronx,2024-12-25 11:15:10.000
COU_000345,Sloan Lopez,scooter,Manhattan,2025-05-16 08:07:52.000
COU_000346,Cameron Nguyen,foot,Staten Island,2025-04-18 23:57:01.000
COU_000347,Quinn Garcia,scooter,Queens,2025-08-08 10:21:41.000
COU_000348,Jordan Brown,scooter,Bronx,2025-03-02 11:45:15.000
COU_000349,Jules Rodriguez,car,Manhattan,2025-02-10 09:45:37.000
COU_000350,Peyton Wright,car,Brooklyn,2025-09-07 09:57:48.000
COU_000351,Jules Baker,e-bike,Staten Island,2025-01-26 03:52:12.000
COU_000352,Avery Chen,car,Queens,2025-03-01 05:21:22.000
COU_000353,Sam Green,bike,Manhattan,2025-05-03 16:31:05.000
COU_000354,Taylor Anderson,e-bike,Staten Island,2025-04-23 12:25:14.000
COU_000355,Jules Anderson,foot,Brooklyn,2025-01-08 02:34:34.000
COU_000356,Emery Lewis,car,Brooklyn,2025-05-13 01:26:13.000
COU_000357,Remy White,scooter,Manhattan,2025-06-23 09:36:32.000
COU_000358,Jordan Lewis,scooter,Manhattan,2025-03-22 14:05:54.000
COU_000359,Morgan Hill,foot,Queens,2024-08-06 01:51:07.000
COU_000360,River Phillips,bike,Manhattan,2024-12-15 22:53:55.000
COU_000361,Harper Scott,foot,Queens,2024-10-18 12:37:21.000
COU_000362,Micah Patel,foot,Queens,2024-11-11 15:01:40.000
COU_000363,Remy Phillips,e-bike,Manhattan,2024-09-05 13:18:37.000
COU_000364,River Adams,foot,Bronx,2025-05-15 01:46:54.000
COU_000365,Reese Brown,car,Staten Island,2025-06-07 17:53:40.000
COU_000366,Sam Kim,foot,Manhattan,2024-10-23 17:45:53.000
COU_000367,Cory Nelson,scooter,Staten Island,2025-06-12 21:25:09.000
COU_000368,Dana Green,foot,Queens,2025-06-06 05:46:14.000
COU_000369,Shawn Thomas,car,Brooklyn,2025-08-24 13:00:41.000
COU_000370,Phoenix Kim,scooter,Staten Island,2024-08-09 08:13:14.000
